index,category,exercise,png,svg,png_size,background,style
1,Chest,Flat Bench Press,chest/001_flat_bench_press.png,chest/001_flat_bench_press.svg,1024x1024,transparent,redrawn flat 2D vector icon
2,Chest,Incline Bench Press,chest/002_incline_bench_press.png,chest/002_incline_bench_press.svg,1024x1024,transparent,redrawn flat 2D vector icon
3,Chest,Decline Bench Press,chest/003_decline_bench_press.png,chest/003_decline_bench_press.svg,1024x1024,transparent,redrawn flat 2D vector icon
4,Chest,Dumbbell Bench Press,chest/004_dumbbell_bench_press.png,chest/004_dumbbell_bench_press.svg,1024x1024,transparent,redrawn flat 2D vector icon
5,Chest,Incline Dumbbell Press,chest/005_incline_dumbbell_press.png,chest/005_incline_dumbbell_press.svg,1024x1024,transparent,redrawn flat 2D vector icon
6,Chest,Decline Dumbbell Press,chest/006_decline_dumbbell_press.png,chest/006_decline_dumbbell_press.svg,1024x1024,transparent,redrawn flat 2D vector icon
7,Chest,Floor Press,chest/007_floor_press.png,chest/007_floor_press.svg,1024x1024,transparent,redrawn flat 2D vector icon
8,Chest,Chest Fly,chest/008_chest_fly.png,chest/008_chest_fly.svg,1024x1024,transparent,redrawn flat 2D vector icon
9,Chest,Cable Crossover,chest/009_cable_crossover.png,chest/009_cable_crossover.svg,1024x1024,transparent,redrawn flat 2D vector icon
10,Chest,Pec Deck,chest/010_pec_deck.png,chest/010_pec_deck.svg,1024x1024,transparent,redrawn flat 2D vector icon
11,Chest,Push-Up,chest/011_push_up.png,chest/011_push_up.svg,1024x1024,transparent,redrawn flat 2D vector icon
12,Chest,Incline Push-Up,chest/012_incline_push_up.png,chest/012_incline_push_up.svg,1024x1024,transparent,redrawn flat 2D vector icon
13,Chest,Decline Push-Up,chest/013_decline_push_up.png,chest/013_decline_push_up.svg,1024x1024,transparent,redrawn flat 2D vector icon
14,Chest,Dips,chest/014_dips.png,chest/014_dips.svg,1024x1024,transparent,redrawn flat 2D vector icon
15,Chest,Landmine Press,chest/015_landmine_press.png,chest/015_landmine_press.svg,1024x1024,transparent,redrawn flat 2D vector icon
16,Chest,Resistance Band Chest Press,chest/016_resistance_band_chest_press.png,chest/016_resistance_band_chest_press.svg,1024x1024,transparent,redrawn flat 2D vector icon
17,Back,Wide-Grip Lat Pulldown,back/017_wide_grip_lat_pulldown.png,back/017_wide_grip_lat_pulldown.svg,1024x1024,transparent,redrawn flat 2D vector icon
18,Back,Close-Grip Lat Pulldown,back/018_close_grip_lat_pulldown.png,back/018_close_grip_lat_pulldown.svg,1024x1024,transparent,redrawn flat 2D vector icon
19,Back,Straight-Arm Pulldown,back/019_straight_arm_pulldown.png,back/019_straight_arm_pulldown.svg,1024x1024,transparent,redrawn flat 2D vector icon
20,Back,Pull-Up,back/020_pull_up.png,back/020_pull_up.svg,1024x1024,transparent,redrawn flat 2D vector icon
21,Back,Chin-Up,back/021_chin_up.png,back/021_chin_up.svg,1024x1024,transparent,redrawn flat 2D vector icon
22,Back,Bent-Over Row,back/022_bent_over_row.png,back/022_bent_over_row.svg,1024x1024,transparent,redrawn flat 2D vector icon
23,Back,Seated Cable Row,back/023_seated_cable_row.png,back/023_seated_cable_row.svg,1024x1024,transparent,redrawn flat 2D vector icon
24,Back,Dumbbell Row,back/024_dumbbell_row.png,back/024_dumbbell_row.svg,1024x1024,transparent,redrawn flat 2D vector icon
25,Back,Single-Arm Dumbbell Row,back/025_single_arm_dumbbell_row.png,back/025_single_arm_dumbbell_row.svg,1024x1024,transparent,redrawn flat 2D vector icon
26,Back,T-Bar Row,back/026_t_bar_row.png,back/026_t_bar_row.svg,1024x1024,transparent,redrawn flat 2D vector icon
27,Back,Inverted Row,back/027_inverted_row.png,back/027_inverted_row.svg,1024x1024,transparent,redrawn flat 2D vector icon
28,Back,Resistance Band Row,back/028_resistance_band_row.png,back/028_resistance_band_row.svg,1024x1024,transparent,redrawn flat 2D vector icon
29,Back,Renegade Row,back/029_renegade_row.png,back/029_renegade_row.svg,1024x1024,transparent,redrawn flat 2D vector icon
30,Back,Deadlift,back/030_deadlift.png,back/030_deadlift.svg,1024x1024,transparent,redrawn flat 2D vector icon
31,Back,Sumo Deadlift,back/031_sumo_deadlift.png,back/031_sumo_deadlift.svg,1024x1024,transparent,redrawn flat 2D vector icon
32,Back,Rack Pull,back/032_rack_pull.png,back/032_rack_pull.svg,1024x1024,transparent,redrawn flat 2D vector icon
33,Back,Romanian Deadlift (RDL),back/033_romanian_deadlift_rdl.png,back/033_romanian_deadlift_rdl.svg,1024x1024,transparent,redrawn flat 2D vector icon
34,Back,Dumbbell Romanian Deadlift,back/034_dumbbell_romanian_deadlift.png,back/034_dumbbell_romanian_deadlift.svg,1024x1024,transparent,redrawn flat 2D vector icon
35,Back,Stiff-Leg Deadlift (SLDL),back/035_stiff_leg_deadlift_sldl.png,back/035_stiff_leg_deadlift_sldl.svg,1024x1024,transparent,redrawn flat 2D vector icon
36,Back,Good Morning,back/036_good_morning.png,back/036_good_morning.svg,1024x1024,transparent,redrawn flat 2D vector icon
37,Shoulders,Shoulder Press,shoulders/037_shoulder_press.png,shoulders/037_shoulder_press.svg,1024x1024,transparent,redrawn flat 2D vector icon
38,Shoulders,Overhead Press,shoulders/038_overhead_press.png,shoulders/038_overhead_press.svg,1024x1024,transparent,redrawn flat 2D vector icon
39,Shoulders,Arnold Press,shoulders/039_arnold_press.png,shoulders/039_arnold_press.svg,1024x1024,transparent,redrawn flat 2D vector icon
40,Shoulders,Lateral Raise,shoulders/040_lateral_raise.png,shoulders/040_lateral_raise.svg,1024x1024,transparent,redrawn flat 2D vector icon
41,Shoulders,Cable Lateral Raise,shoulders/041_cable_lateral_raise.png,shoulders/041_cable_lateral_raise.svg,1024x1024,transparent,redrawn flat 2D vector icon
42,Shoulders,Front Raise,shoulders/042_front_raise.png,shoulders/042_front_raise.svg,1024x1024,transparent,redrawn flat 2D vector icon
43,Shoulders,Rear Delt Fly,shoulders/043_rear_delt_fly.png,shoulders/043_rear_delt_fly.svg,1024x1024,transparent,redrawn flat 2D vector icon
44,Shoulders,Face Pull,shoulders/044_face_pull.png,shoulders/044_face_pull.svg,1024x1024,transparent,redrawn flat 2D vector icon
45,Shoulders,Resistance Band Face Pull,shoulders/045_resistance_band_face_pull.png,shoulders/045_resistance_band_face_pull.svg,1024x1024,transparent,redrawn flat 2D vector icon
46,Shoulders,Upright Row,shoulders/046_upright_row.png,shoulders/046_upright_row.svg,1024x1024,transparent,redrawn flat 2D vector icon
47,Shoulders,Shrug,shoulders/047_shrug.png,shoulders/047_shrug.svg,1024x1024,transparent,redrawn flat 2D vector icon
48,Shoulders,Pike Push-Up,shoulders/048_pike_push_up.png,shoulders/048_pike_push_up.svg,1024x1024,transparent,redrawn flat 2D vector icon
49,Arms,Bicep Curl,arms/049_bicep_curl.png,arms/049_bicep_curl.svg,1024x1024,transparent,redrawn flat 2D vector icon
50,Arms,Barbell Bicep Curl,arms/050_barbell_bicep_curl.png,arms/050_barbell_bicep_curl.svg,1024x1024,transparent,redrawn flat 2D vector icon
51,Arms,EZ-Bar Bicep Curl,arms/051_ez_bar_bicep_curl.png,arms/051_ez_bar_bicep_curl.svg,1024x1024,transparent,redrawn flat 2D vector icon
52,Arms,Resistance Band Bicep Curl,arms/052_resistance_band_bicep_curl.png,arms/052_resistance_band_bicep_curl.svg,1024x1024,transparent,redrawn flat 2D vector icon
53,Arms,Hammer Curl,arms/053_hammer_curl.png,arms/053_hammer_curl.svg,1024x1024,transparent,redrawn flat 2D vector icon
54,Arms,Preacher Curl,arms/054_preacher_curl.png,arms/054_preacher_curl.svg,1024x1024,transparent,redrawn flat 2D vector icon
55,Arms,Concentration Curl,arms/055_concentration_curl.png,arms/055_concentration_curl.svg,1024x1024,transparent,redrawn flat 2D vector icon
56,Arms,Cable Curl,arms/056_cable_curl.png,arms/056_cable_curl.svg,1024x1024,transparent,redrawn flat 2D vector icon
57,Arms,Spider Curl,arms/057_spider_curl.png,arms/057_spider_curl.svg,1024x1024,transparent,redrawn flat 2D vector icon
58,Arms,Zottman Curl,arms/058_zottman_curl.png,arms/058_zottman_curl.svg,1024x1024,transparent,redrawn flat 2D vector icon
59,Arms,Tricep Pushdown,arms/059_tricep_pushdown.png,arms/059_tricep_pushdown.svg,1024x1024,transparent,redrawn flat 2D vector icon
60,Arms,Tricep Extension,arms/060_tricep_extension.png,arms/060_tricep_extension.svg,1024x1024,transparent,redrawn flat 2D vector icon
61,Arms,Overhead Tricep Extension,arms/061_overhead_tricep_extension.png,arms/061_overhead_tricep_extension.svg,1024x1024,transparent,redrawn flat 2D vector icon
